,place,city_id
0,Delhi,1
1,chandigarh,12
2,puducherry,37
3,rishikesh,11305
4,khajuraho,11077
5,trivandrum,11290
6,dehradun,35
7,nashik,16
8,hyderabad,6
9,junagadh,11322
10,varanasi,39
11,rajkot,11294
12,ooty,18
13,manali,11308
14,jamshedpur,11338
15,guntur,11339
16,mysore,36
17,jamnagar,11321
18,salem,11331
19,khamgaon,11898
20,agra,34
21,cuttack,11289
22,jodhpur,11301
23,patna,40
24,tirupati,11323
25,palakkad,11314
26,ludhiana,20
27,neemrana,11079
28,jalandhar,11306
29,guwahati,21
30,indore,14
31,raipur,11310
32,gorakhpur,11311
33,jaipur,10
34,pushkar,11293
35,udaipur,11054
36,jammu,11307
37,mussoorie,11304
38,allahabad,24
39,alappuzha,11297
40,shimla,19
41,haridwar,11291
42,gwalior,11337
43,gangtok,15
44,ajmer,11303
45,darjeeling,11324
46,vijayawada,11300
47,kochi,9
48,nainital,11328
49,ranchi,27
50,pune,5
51,nagpur,33
52,jabalpur,11336
53,vellore,11330
54,thrissur,11298
55,vadodara,32
56,coimbatore,30
57,kanpur,23
58,jhansi,11352
59,amritsar,22
60,bangalore,4
61,madurai,11295
62,goa,13
63,chennai,7
64,bhubaneswar,29
65,aurangabad,25
66,mumbai,3
67,lucknow,8
68,trichy,11332
69,surat,38
70,dharamshala,11309
71,kolhapur,11334
72,ahmedabad,11
73,mangalore,31
74,patiala,11333
75,bhopal,26
76,kolkata,2
77,meerut,11329
78,amravati,11335
79,manipal,11299
80,kharagpur,11354
81,srinagar,11076
82,kota,11302
83,visakhapatnam,28
84,siliguri,11327
